 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1      -0.71482E-02      -0.14158E-02      -0.26456E-01      -0.35642E+01      -0.17300E+00      -0.21495E+00
      0      1      -0.53388E+00       0.68522E-03      -0.11738E+00       0.15973E+01      -0.32799E+00      -0.68569E+00
      0      1      -0.15342E+01       0.11238E-02      -0.17049E+00       0.67601E+01      -0.53312E-01       0.85367E+00
      0      1      -0.96418E+00       0.35573E-02       0.20870E+00       0.33102E+01      -0.17823E+00      -0.22571E+01
      0      1      -0.47041E+00       0.16298E-03      -0.81864E-01       0.24646E+01       0.72035E-01      -0.15556E+01
      0      1      -0.20662E+01       0.48696E-02       0.23345E+00       0.40266E+01      -0.88157E-01      -0.19101E+01
      0      1       0.66763E+00      -0.32961E-02      -0.37782E+00      -0.30542E+00       0.24732E+00       0.15573E+01
      0      1      -0.17885E+01       0.31441E-02       0.46377E-01       0.41461E+01       0.18046E+00       0.76729E+00
      0      1       0.15366E+01      -0.18766E-02      -0.13525E+00      -0.41787E+01       0.28189E+00       0.30223E+01
      0      1       0.57146E+00      -0.40164E-03       0.10900E+00      -0.26598E+01       0.21967E+00      -0.81612E+00
      0      1       0.10309E+01      -0.31561E-03       0.16287E-01      -0.55515E+00       0.31271E+00      -0.12191E+00
      0      1      -0.75839E+00       0.25392E-02       0.34841E+00      -0.21350E+01      -0.22429E-01       0.17258E+01
