 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1       0.38531E-01       0.12901E-02      -0.21580E+01      -0.14854E+02       0.22789E+00       0.80679E+00
      0      1      -0.24407E-01       0.85309E-03       0.28088E+01       0.19338E+02      -0.28896E+00      -0.13875E+01
      0      1      -0.19877E+00       0.16631E-02      -0.21316E+01      -0.14679E+02       0.13914E-01       0.22401E+00
      0      1       0.58436E+00      -0.18281E-02       0.38591E+00       0.26586E+01       0.51365E+00       0.29650E+01
      0      1      -0.41213E+00      -0.20563E-02       0.23936E+01       0.16483E+02      -0.14685E-01      -0.44268E+00
      0      1      -0.48852E+00       0.30668E-02       0.65508E+00       0.45089E+01       0.18006E+00       0.23449E+00
      0      1      -0.89116E+00      -0.32919E-02       0.45811E+00       0.31528E+01       0.59520E-01       0.17186E+00
      0      1      -0.87448E+00       0.19851E-02       0.15686E+01       0.10799E+02      -0.80734E-02       0.14098E+01
      0      1       0.21166E+00       0.50255E-02      -0.15565E+01      -0.10717E+02      -0.28042E+00      -0.55081E+00
      0      1      -0.15947E+00      -0.45894E-03       0.15832E+01       0.10901E+02       0.48441E+00       0.23725E+01
      0      1       0.50504E+00      -0.35949E-02      -0.12770E+01      -0.87887E+01      -0.28428E+00      -0.15905E+01
      0      1      -0.66742E+00      -0.24883E-02       0.46227E+00       0.31807E+01       0.24849E+00       0.51667E+00
      0      1       0.25845E+00       0.30192E-02      -0.53559E-01      -0.37092E+00      -0.80828E-01       0.94064E+00
      0      1      -0.27670E+00      -0.47564E-02       0.12366E+01       0.85163E+01       0.10625E+00       0.38185E-01
      0      1       0.91744E+00       0.75650E-03      -0.81588E+00      -0.56200E+01       0.29463E+00       0.15590E+01
      0      1       0.10167E+00       0.76901E-03       0.27030E+00       0.18645E+01      -0.12386E+00      -0.10774E+01
      0      1      -0.48186E-01      -0.55948E-02       0.30719E+00       0.21173E+01       0.34168E-01       0.85147E-01
      0      1       0.88464E+00      -0.54299E-02       0.27745E+01       0.19102E+02      -0.15601E+00      -0.11035E+01
      0      1      -0.56018E+00       0.32378E-02       0.27844E+01       0.19172E+02       0.13213E+00      -0.79308E+00
